MHA MHH tb WR CS MU NLL
750.000 600.000 1.000 0.010 0.864100 0.017925 5082.330000
750.000 550.000 1.000 0.010 2.116000 0.006611 23109.600000
750.000 500.000 1.000 0.010 3.360000 0.003742 48933.000000
750.000 450.000 1.000 0.010 3.869000 0.002903 61340.000000
750.000 400.000 1.000 0.010 2.827000 0.003567 38553.100000
700.000 600.000 1.000 0.010 0.157600 0.120403 209.367000
700.000 550.000 1.000 0.010 1.124000 0.014202 7441.560000
700.000 500.000 1.000 0.010 2.565000 0.005779 28156.900000
700.000 450.000 1.000 0.010 3.529000 0.003689 48413.800000
700.000 400.000 1.000 0.010 2.864000 0.004177 34655.500000
650.000 550.000 1.000 0.010 0.191500 0.097729 302.973000
650.000 500.000 1.000 0.010 1.393000 0.011982 9852.580000
600.000 400.000 1.000 0.010 2.170000 0.007313 17977.800000
550.000 450.000 1.000 0.010 0.236700 0.080799 409.835000
550.000 400.000 1.000 0.010 1.250000 0.014011 7023.580000
500.000 400.000 1.000 0.010 0.191000 0.098507 273.185000
650.000 450.000 1.000 0.010 2.775000 0.005550 29441.900000
650.000 400.000 1.000 0.010 2.681000 0.005047 28775.500000
600.000 500.000 1.000 0.010 0.223700 0.087444 364.454000
600.000 450.000 1.000 0.010 1.545000 0.011639 10245.200000
800.000 450.000 1.000 0.010 3.909000 0.002529 67006.500000
800.000 500.000 1.000 0.010 3.776000 0.002827 63929.400000
750.000 650.000 1.000 0.010 0.127300 0.153431 136.878000
800.000 400.000 1.000 0.010 2.666000 0.003254 38435.600000
800.000 650.000 1.000 0.010 0.651600 0.022709 3380.460000
800.000 700.000 1.000 0.010 0.101800 0.192745 88.836100
800.000 550.000 1.000 0.010 2.837000 0.004208 40093.600000
800.000 600.000 1.000 0.010 1.657000 0.008137 16395.200000
