LID	AZHtt_NLL
0	256.361
1	153.281
2	60.609
3	101.581
4	154.27
5	348.613
6	524.27
7	1.10143
8	89.3105
9	6.99697
10	41.2733
11	0
12	9.8745
13	0
14	26.4968
15	96.8785
16	186.723
17	19.1967
18	3.33499
19	285.745
20	31.7512
21	2.21723
22	391.752
23	10.16
24	102.786
25	111.664
26	77.8968
27	786.915
28	0.07049
29	226.236
30	27.8116
31	260.241
32	366.914
33	0
34	396.414
35	351.792
36	1.73479
37	239.85
38	7.88614
39	397.791
40	495.27
41	191.238
42	196.939
43	700.228
44	0
45	296.899
46	73.0524
47	0
48	141.052
49	174.247
50	11.2278
51	60.9431
52	387.783
53	50.162
54	173.007
55	0
56	169.877
57	181.942
58	9.65671
59	0
60	169.767
61	0
62	230.9
63	26.4968
64	0
65	692.304
66	0.297058
67	239.359
68	158.682
69	191.044
70	162.887
71	122.449
72	151.496
73	55.573
74	212.523
75	100.426
76	146.765
77	27.824
78	198.883
79	179.333
80	208.836
81	90.5643
82	23.6415
83	8.52207
84	128.693
85	0.0739563
86	0
87	205.546
88	34.2983
89	122.953
90	267.296
91	220.551
92	135.683
93	252.773
94	53.0771
95	75.3
96	131.086
97	0
98	31.3269
99	370.556
100	94.8833
101	96.4874
102	15.0897
103	1.41214
104	137.61
105	263.071
106	89.176
107	406.059
108	0
109	0
110	71.8523
111	0
112	2.72929
113	54.5771
114	55.3726
115	35.8252
116	115.721
117	82.8115
118	53.9481
119	61.2716
120	159.288
121	127.362
122	88.1287
123	110.331
124	0
125	0
126	119.952
127	0
128	0
129	64.2529
130	104.783
131	24.9896
132	135.273
133	32.7704
134	109.115
135	29.9689
136	381.636
137	3.88904
138	155.719
139	49.8053
140	135.948
141	0
142	206.793
143	108.387
144	48.1092
145	0
146	0.366317
147	3.61005
148	54.0794
149	178.86
150	274.875
151	7.27724
152	0
153	427.437
154	168.935
155	68.3665
156	79.9647
157	11.4669
158	307.223
159	1.97785
160	125.085
161	548.942
162	84.474
163	0
164	1.21193
165	34.6443
166	457.304
167	65.3218
168	129.107
169	0
170	42.8933
171	29.5032
172	4.69104
173	166.348
174	63.6495
175	285.088
176	597.237
177	343.186
178	69.43
179	0
180	0
181	202.852
182	291.739
183	0.0175685
184	2.67352
185	210.377
186	212.694
187	41.5359
188	166.913
189	9.86959
190	1.37331
191	24.8414
192	0
193	458.498
194	0.0724511
195	229.571
196	0
197	172.012
198	17.7064
199	94.2623
200	115.772
201	104.785
202	156.054
203	239.871
204	0
205	0
206	136.191
207	0
208	142.099
209	227.592
210	129.547
211	98.047
212	184.49
213	167.353
214	0
215	0
216	0
217	0
218	164.47
219	136.277
220	53.127
221	61.2424
222	391.98
223	146.867
224	31.9678
225	72.3147
226	217.009
227	282.708
228	142.418
229	0
230	196.803
231	142.076
232	1.32284
233	5.53777
234	0
235	73.7341
236	186.561
237	35.0016
238	0.515847
239	0
240	0.435111
241	80.6131
242	147.707
243	88.3731
244	114.283
245	4.32542
246	170.341
247	196.184
248	0
249	134.05
250	72.1275
251	0
252	386.764
253	80.8341
254	186.921
255	15.9216
256	202.108
257	351.361
258	329.84
259	89.6113
260	250.818
261	0
262	77.3145
263	36.9238
264	88.3238
265	6.03857
266	112.545
267	153.903
268	0
269	398.134
270	87.0853
271	179.87
272	361.575
273	48.4651
274	90.711
275	154.803
276	2.73721
277	0
278	386.402
279	289.21
280	74.8452
281	0
282	42.0079
283	132.273
284	194.259
285	0
286	0
287	56.6018
288	38.818
289	0
290	68.0966
291	36.7748
292	0
293	93.1536
294	284.888
295	76.972
296	0
297	53.5322
298	182.345
299	53.6581
300	9.79963
301	0
302	126.683
303	32.7059
304	55.6378
305	0
306	0.718432
307	0
308	202.226
309	244.497
310	0
311	48.224
312	44.9525
313	88.7547
314	46.4041
315	32.5551
316	0
317	13.1537
318	109.513
319	0
320	6.1204
321	0
322	123.69
323	19.1621
324	94.4727
325	37.8428
326	0
327	84.9356
328	214.313
329	2.0007
330	99.1065
331	120.708
332	0
333	56.1606
334	70.2071
335	55.6825
336	42.5402
337	225.388
338	196.196
339	120.708
340	130.086
341	82.2648
342	2.57991
343	0.866967
344	0
345	217.009
346	117.705
347	0
348	1.98652
349	7.93814
350	15.6781
351	115.791
352	0.120951
353	62.4826
354	203.972
355	78.2961
356	5.76634
357	0
358	126.18
359	65.578
360	0
361	7.11285
362	312.019
363	117.007
364	2.09982
365	74.432
366	111.349
367	34.5489
368	94.8247
369	0
370	40.1832
371	75.2091
372	0
373	108.475
374	255.039
375	0
376	72.6917
377	0
378	82.8153
379	118.248
380	0
381	60.571
382	45.265
383	208.238
384	484.963
385	53.5322
386	242.9
387	0
388	42.5484
