MHA MHH tb WR CS MU NLL
800.000 650.000 1.000 0.050 0.029220 0.694248 7.868890
800.000 700.000 1.000 0.050 0.012070 2.144940 0.845137
800.000 550.000 1.000 0.050 0.099650 0.155552 136.205000
800.000 600.000 1.000 0.050 0.060710 0.290836 42.424500
800.000 450.000 1.000 0.050 0.140400 0.084835 379.046000
800.000 500.000 1.000 0.050 0.132600 0.102978 281.599000
750.000 650.000 1.000 0.050 0.014360 1.713350 1.320900
800.000 400.000 1.000 0.050 0.101800 0.111233 221.641000
650.000 450.000 1.000 0.050 0.094850 0.197582 87.904500
650.000 400.000 1.000 0.050 0.093840 0.178707 102.359000
600.000 500.000 1.000 0.050 0.021340 1.215680 2.608880
600.000 450.000 1.000 0.050 0.056700 0.387928 24.420300
600.000 400.000 1.000 0.050 0.074240 0.263737 50.162400
550.000 450.000 1.000 0.050 0.021370 1.286470 2.332940
550.000 400.000 1.000 0.050 0.044770 0.515102 14.009100
500.000 400.000 1.000 0.050 0.017260 1.717910 1.316020
650.000 550.000 1.000 0.050 0.019440 1.312310 2.241690
650.000 500.000 1.000 0.050 0.053590 0.400013 23.073600
700.000 550.000 1.000 0.050 0.045500 0.443218 18.889500
700.000 500.000 1.000 0.050 0.089650 0.205097 82.276400
700.000 450.000 1.000 0.050 0.121600 0.131046 184.586000
700.000 400.000 1.000 0.050 0.103300 0.139019 157.891000
750.000 500.000 1.000 0.050 0.116700 0.135868 175.781000
750.000 450.000 1.000 0.050 0.135800 0.102322 282.156000
750.000 400.000 1.000 0.050 0.105000 0.120083 200.495000
700.000 600.000 1.000 0.050 0.016940 1.502860 1.712900
750.000 600.000 1.000 0.050 0.036850 0.547825 12.517700
750.000 550.000 1.000 0.050 0.075610 0.236782 62.736700
