MHA MHH tb WRA WRH CS MU NLL
800.000 450.000 1.000 0.005 0.050 1.472000 0.007267 16669.600000
800.000 500.000 1.000 0.005 0.050 1.404000 0.008389 14820.900000
750.000 650.000 1.000 0.005 0.050 0.106900 0.229763 67.253000
800.000 400.000 1.000 0.005 0.050 1.055000 0.008984 10381.200000
800.000 650.000 1.000 0.005 0.050 0.283100 0.064762 659.090000
800.000 700.000 1.000 0.005 0.050 0.089830 0.278790 46.490800
800.000 550.000 1.000 0.005 0.050 1.060000 0.012859 8615.470000
800.000 600.000 1.000 0.005 0.050 0.637000 0.024265 3335.230000
750.000 600.000 1.000 0.005 0.050 0.362000 0.050777 1006.690000
750.000 550.000 1.000 0.005 0.050 0.798700 0.019802 4640.750000
700.000 550.000 1.000 0.005 0.050 0.452500 0.041149 1445.130000
700.000 500.000 1.000 0.005 0.050 0.951000 0.016918 5922.090000
700.000 450.000 1.000 0.005 0.050 1.299000 0.010899 10804.700000
700.000 400.000 1.000 0.005 0.050 1.095000 0.011608 8523.050000
750.000 500.000 1.000 0.005 0.050 1.244000 0.010960 10860.600000
750.000 450.000 1.000 0.005 0.050 1.440000 0.008198 15178.700000
750.000 400.000 1.000 0.005 0.050 1.100000 0.009762 10083.700000
700.000 600.000 1.000 0.005 0.050 0.125500 0.199139 88.217600
600.000 400.000 1.000 0.005 0.050 0.794900 0.021305 3723.010000
550.000 450.000 1.000 0.005 0.050 0.154200 0.164379 122.977000
550.000 400.000 1.000 0.005 0.050 0.457500 0.045727 1125.630000
500.000 400.000 1.000 0.005 0.050 0.127900 0.211803 76.334200
650.000 450.000 1.000 0.005 0.050 1.012000 0.016216 6172.690000
650.000 400.000 1.000 0.005 0.050 1.004000 0.014599 6405.720000
600.000 500.000 1.000 0.005 0.050 0.155700 0.164837 124.543000
600.000 450.000 1.000 0.005 0.050 0.576900 0.033543 1988.430000
650.000 550.000 1.000 0.005 0.050 0.143200 0.179226 106.736000
650.000 500.000 1.000 0.005 0.050 0.539300 0.033848 1994.640000
