MHA MHH tb WRA WRH CS MU NLL
750.000 650.000 1.000 0.005 0.250 0.054020 0.560055 12.041000
800.000 400.000 1.000 0.005 0.250 0.203100 0.063236 614.824000
800.000 450.000 1.000 0.005 0.250 0.227600 0.060673 701.380000
800.000 500.000 1.000 0.005 0.250 0.203100 0.072369 532.717000
800.000 550.000 1.000 0.005 0.250 0.155000 0.114010 245.298000
800.000 600.000 1.000 0.005 0.250 0.105300 0.190998 95.079400
800.000 650.000 1.000 0.005 0.250 0.067920 0.353565 29.442500
800.000 700.000 1.000 0.005 0.250 0.046540 0.614895 10.008200
750.000 400.000 1.000 0.005 0.250 0.200200 0.072994 499.570000
700.000 600.000 1.000 0.005 0.250 0.061730 0.511669 14.381200
750.000 500.000 1.000 0.005 0.250 0.177500 0.101170 302.839000
750.000 450.000 1.000 0.005 0.250 0.213400 0.074474 505.740000
700.000 450.000 1.000 0.005 0.250 0.185800 0.099918 307.945000
700.000 400.000 1.000 0.005 0.250 0.186900 0.094341 327.983000
700.000 550.000 1.000 0.005 0.250 0.091950 0.281879 45.659200
700.000 500.000 1.000 0.005 0.250 0.141000 0.159153 134.043000
750.000 600.000 1.000 0.005 0.250 0.080020 0.311275 37.705900
750.000 550.000 1.000 0.005 0.250 0.124600 0.166286 123.299000
550.000 400.000 1.000 0.005 0.250 0.091400 0.344761 30.849400
500.000 400.000 1.000 0.005 0.250 0.081010 0.317837 35.567400
600.000 400.000 1.000 0.005 0.250 0.126100 0.209339 79.450700
550.000 450.000 1.000 0.005 0.250 0.077990 0.398106 23.328100
600.000 500.000 1.000 0.005 0.250 0.074660 0.445438 18.839200
600.000 450.000 1.000 0.005 0.250 0.102800 0.280521 45.951500
650.000 450.000 1.000 0.005 0.250 0.145900 0.154186 140.897000
650.000 400.000 1.000 0.005 0.250 0.161600 0.124294 203.919000
650.000 550.000 1.000 0.005 0.250 0.068920 0.464336 17.396800
650.000 500.000 1.000 0.005 0.250 0.101100 0.260578 53.039600
