LID	AZHtt_NLL
0	0
1	0
2	0
3	0
4	0
5	0
6	277.617
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	28.3735
20	0
21	24.6759
22	0
23	0
24	0
25	0
26	65.2552
27	0
28	6.34265
29	114.706
30	0
31	0
32	0
33	0
34	35.0465
35	0
36	0
37	0
38	0
39	18.3167
40	0
41	53.5235
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	11.5152
51	0.954748
52	0
53	0
54	0
55	0
56	0
57	78.231
58	0
59	0
60	92.7994
61	0
62	23.2038
63	0
64	0
65	0
66	41.1485
67	0
68	0
69	2.20604e-05
70	100.418
71	0
72	0
73	0
74	0
75	37.5517
76	0
77	59.7096
78	0
79	10.1776
80	0.0321565
81	1.20808
82	0
83	191.086
84	0
85	55.8962
86	31.1544
87	0
88	66.4138
89	0
90	0
91	0
92	0
93	47.1705
94	0
95	40.4559
96	0
97	0
98	0
99	0
100	0.289309
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	54.2765
109	0
110	89.2661
111	0
112	0
113	0.872525
114	179.095
115	0
116	0
117	41.5291
118	0
119	104.164
120	0
121	0
122	0
123	0
124	246.098
125	0
126	0
127	0
128	18.8091
129	0
130	0
131	0
132	209.933
133	0
134	0
135	38.7924
136	0
137	0
138	0
139	0
140	0.000192362
141	0
142	0
143	0
144	0
145	0
146	40.5368
147	0
148	0
149	40.2056
150	15.1518
151	0
152	0
153	0
154	0
155	0
156	2.57898e-10
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	104.204
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	21.8705
183	0
184	0
185	86.9285
186	0
187	0
188	42.5588
189	146.664
190	0
191	0
192	42.9715
193	18.9151
194	0
195	0
196	8.8673
197	125.46
198	0.0189789
199	110.305
200	0
201	124.116
202	0
203	0
204	0
205	0
206	27.5704
207	0
208	0
209	0
210	0
211	0
212	0
213	153.568
214	0
215	209.996
216	0
217	0
218	0
219	0
220	0
221	16.2917
222	0
223	0
224	0
225	25.6617
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	250.894
235	6.17202e-07
236	0
237	0
238	0
239	0
240	163.434
241	24.247
242	0
243	0
244	46.7506
245	18.9224
246	0
247	0
248	0
249	0
250	9.06908
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	35.7009
269	0
270	0
271	0
272	183.222
273	205.393
274	16.1194
275	0
276	0
277	0
278	24.6929
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	125.204
287	0
288	0
289	1.39256
290	0
291	0
292	98.5975
293	0
294	0
295	83.5015
296	0
297	149.267
298	0
299	0
300	0
301	0
302	182.386
303	0
304	0
305	0
306	12.0346
307	0
308	0.262594
309	202.925
310	0
311	0
312	0.00326365
313	0
314	0
315	0
316	426.923
317	0
318	4.08482
319	141.108
320	0
321	0
322	0
323	0
324	0.186401
325	6.55719
326	0
327	0
328	0
329	0
330	0
331	6.22198
332	0
333	1.4413e-05
334	10.9109
335	13.0202
336	64.9503
337	28.2617
338	6.80102e-12
339	0
340	25.5783
341	2.93092
342	0
343	0
344	2.06357
345	10.0662
346	0
347	119.922
348	55.0983
349	0
350	19.5964
351	43.9071
352	0.0287213
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	216.469
364	49.082
365	0
366	0
367	0
368	0
369	4.17825
370	167.763
371	0
372	0
373	0
374	73.4333
375	0
376	0
377	0
378	27.1702
379	0
380	0
381	0
382	29.284
383	0
384	0
385	0
386	58.583
387	0
388	1.28617
389	0
390	15.8859
391	2.92015
392	3.57783e-06
393	0
394	0
395	0.0944748
396	0.181484
397	27.8229
398	11.4195
399	0
400	137.851
401	0
402	0
403	0
404	0
405	60.2692
406	0
407	0
408	0
409	19.2393
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	175.827
426	0
427	0
428	0
429	79.5301
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
