LID	AZHtt_NLL
0	276.663
1	171.518
2	62.5473
3	108.999
4	157.05
5	363.11
6	566.298
7	1.11542
8	92.0037
9	7.05469
10	41.6428
11	0
12	10.0135
13	0
14	26.9729
15	98.9099
16	203.668
17	19.6776
18	3.35809
19	313.12
20	32.097
21	2.24265
22	407.745
23	10.3185
24	116.622
25	115.009
26	85.7313
27	818.49
28	0.0713217
29	251.709
30	28.2969
31	272.868
32	386.814
33	0
34	410.391
35	363.51
36	1.75054
37	268.138
38	12.4655
39	412.87
40	520.149
41	199.02
42	204.17
43	728.332
44	0
45	332.527
46	74.5017
47	0
48	145.999
49	182.028
50	21.7325
51	62.011
52	420.686
53	53.0781
54	184.28
55	0
56	179.033
57	186.496
58	9.7889
59	0
60	173.76
61	0
62	237.943
63	26.9729
64	0
65	724.464
66	0.299321
67	271.159
68	165.35
69	208.297
70	182.543
71	132.133
72	157.93
73	63.3064
74	217.907
75	103.932
76	152.65
77	28.5021
78	223.542
79	184.365
80	218.266
81	93.5897
82	25.2274
83	8.643
84	131.554
85	0.0749213
86	0
87	215.88
88	34.8343
89	133.466
90	279.147
91	232.01
92	144.833
93	268.405
94	55.1328
95	76.2777
96	134.385
97	0
98	32.015
99	387.018
100	105.522
101	103.824
102	15.2821
103	1.43815
104	153.014
105	276.56
106	94.7873
107	447.951
108	0
109	0
110	76.3572
111	0
112	2.78048
113	55.3201
114	57.1916
115	36.9087
116	134.178
117	91.0677
118	60.5516
119	74.3559
120	163.601
121	137.193
122	89.9568
123	121.02
124	0
125	0
126	152.927
127	0
128	0
129	69.83
130	113.973
131	31.6234
132	146.216
133	38.9455
134	117.371
135	30.4763
136	396.792
137	3.92678
138	163.747
139	51.29
140	148.768
141	0
142	218.069
143	112.124
144	51.5789
145	0
146	0.367308
147	3.69219
148	56.0089
149	198.434
150	304.204
151	7.40117
152	0
153	473.454
154	173.53
155	72.6297
156	89.1906
157	18.9668
158	323.253
159	2.01029
160	128.485
161	572.518
162	89.8094
163	0
164	1.23822
165	42.6225
166	479.725
167	66.483
168	134.135
169	0
170	54.8061
171	37.5612
172	4.8016
173	172.912
174	71.2265
175	308.54
176	628.034
177	352.103
178	73.4948
179	0
180	0
181	208.991
182	303.678
183	0.0178691
184	2.72374
185	221.2
186	218.268
187	43.7581
188	189.156
189	10.1117
190	1.40899
191	25.1141
192	0
193	487.958
194	0.0737928
195	240.435
196	0
197	200.945
198	23.1356
199	106.281
200	119.386
201	107.498
202	163.178
203	251.606
204	0
205	0
206	138.717
207	0
208	155.809
209	254.824
210	134.626
211	104.017
212	190.448
213	189.475
214	0
215	0
216	0
217	0
218	172.183
219	155.07
220	54.1712
221	63.0763
222	429.526
223	149.478
224	33.5619
225	83.754
226	222.496
227	303.748
228	151.434
229	0
230	209.103
231	147.061
232	1.33966
233	5.63488
234	0
235	75.2794
236	199.353
237	35.6814
238	0.52391
239	0
240	0.4413
241	88.6613
242	153.284
243	89.5792
