LID	AZHtt_NLL
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	95.7731
12	0
13	0
14	0
15	0.000222663
16	0
17	0
18	0
19	0
20	0
21	0
22	1.56469
23	0
24	82.1251
25	0
26	0
27	42.2485
28	0
29	0
30	0
31	0.000599631
32	0
33	0
34	285.612
35	0
36	21.1962
37	144.811
38	0
39	0
40	0
41	0
42	0
43	24.1954
44	0
45	0
46	0.0250385
47	73.3937
48	64.7368
49	0
50	0
51	0
52	0
53	0
54	7.27103
55	0
56	0
57	0
58	0
59	0
60	0.0866075
61	0
62	9.6151e-05
63	468.945
64	48.1968
65	0
66	11.0109
67	0
68	0
69	190.16
70	0
71	0
72	0
73	0
74	26.9909
75	0
76	221.674
77	543.066
78	0
79	0
80	0
81	0
82	0
83	12.8083
84	0
85	40.4947
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	82.1908
95	0
96	0
97	0
98	0
99	0
100	73.2822
101	3.36724
102	0
103	0
104	0
105	1.12273
106	187.281
107	0
108	0
109	35.1349
110	1.02996
111	0
112	0
113	0
114	203.518
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0.0345123
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	14.4066
134	32.6698
135	0
136	0
137	0.833815
138	228.45
139	0
140	0
141	86.5266
142	7.69049
143	0.549242
144	63.4533
145	0
146	0
147	0
148	0
149	58.6043
150	49.1034
151	690.618
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	2.45182
160	0
161	0
162	102.45
163	0
164	0
165	0
166	314.641
167	0
168	0
169	13.4975
170	0
171	0
172	0
173	3.52335
174	0
175	0
176	323.984
177	9.78936
178	0
179	4.73349e-05
180	0
181	0
182	21.986
183	59.4977
184	288.922
185	0
186	0
187	536.847
188	97.8082
189	0
190	4.57358
191	0
192	95.625
193	0
194	0
195	0
196	0
197	7.57576
198	0
199	379.092
200	25.3307
201	0
202	0
203	270.665
204	0
205	198.031
206	0
207	0
208	15.4026
209	0
210	176.448
211	0
212	0
213	0.451464
214	0
215	0
216	0
217	0
218	1.69642
219	454.183
220	0
221	21.7033
222	0
223	0
224	172.315
225	148.016
226	118.984
227	0
228	4.76449
229	276.996
230	23.8614
231	12.9801
232	0
233	40.8766
234	0.81741
235	0
236	1.7869
237	0
238	97.1968
239	37.3658
240	0
241	13.4685
242	0
243	0
244	120.243
245	276.06
246	59.0448
247	0
248	177.627
249	44.3327
250	71.8056
251	0
252	8.13625
253	432.791
254	0
255	41.3329
256	23.3038
257	52.7261
258	0
259	0
260	0
261	0
262	0
263	20.5553
264	0
265	204.672
266	0
267	25.0378
268	0
269	195.43
270	0
271	0
272	404.529
273	0
274	0
275	0
276	22.1673
277	0
278	0
279	0
280	32.743
281	0
282	0
283	0
284	0
285	0
286	85.1129
287	39.2712
288	0
289	8.786
290	0
291	0
292	0
293	0
294	35.7693
295	513.392
296	22.0794
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	42.5332
306	0
307	268.46
308	0
309	0
310	87.5401
311	0
312	0
313	28.4748
314	400.02
315	0
316	0
317	0
318	0
319	379.202
320	0
321	0.0174313
322	0
323	0
324	0
325	0
326	0
327	244.9
328	0
329	11.6392
330	0
331	0
332	0
333	0.0290134
334	0
335	0
336	0
337	0
338	312.088
339	0
340	0
341	0
342	0
343	0
344	20.7072
345	0
346	39.2402
347	0
348	23.0353
349	4.33564e-06
350	0
351	0
352	172.393
353	0
354	221.571
355	86.3709
356	0
357	261.947
358	0
359	0
360	688.154
361	28.1378
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	21.3419
372	291.128
373	0
374	131.005
375	0
376	0
377	0
378	0
379	0
380	16.6255
381	0
382	231.405
383	0
384	90.6614
385	0
386	8.2148
387	0.00113662
388	433.865
389	0
390	11.3363
391	0.000462033
392	32.7933
393	0
394	0
395	12.4322
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	3.85207
406	0
407	0
408	506.415
409	0
410	0
411	1.13453
412	0
413	0
414	0
415	3.05737
416	0
417	103.425
418	22.196
419	121.162
420	299.176
421	60.5098
422	0
423	0
424	11.048
