LID	AZHtt_NLL
0	0
1	0
2	0
3	0
4	0
5	0
6	303.619
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	31.4364
20	0
21	24.9776
22	0
23	0
24	0
25	0
26	67.1938
27	0
28	7.35518
29	119.48
30	0
31	0
32	0
33	0
34	35.6044
35	0
36	0
37	0
38	0
39	20.553
40	0
41	56.9119
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	12.4788
51	1.03788
52	0
53	0
54	0
55	0
56	0
57	80.3189
58	0
59	0
60	94.1343
61	0
62	23.6216
63	0
64	0
65	0
66	44.5012
67	0
68	0
69	2.34689e-05
70	108.897
71	0
72	0
73	0
74	0
75	38.7362
76	0
77	60.4353
78	0
79	12.0594
80	0.0325885
81	1.33273
82	0
83	199.5
84	0
85	61.1721
86	32.2105
87	0
88	71.956
89	0
90	0
91	0
92	0
93	51.5018
94	0
95	47.931
96	0
97	0
98	0
99	0
100	0.293556
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	55.3198
109	0
110	105.864
111	0
112	0
113	1.00128
114	188.431
115	0
116	0
117	48.9432
118	0
119	110.673
120	0
121	0
122	0
123	0
124	259.826
125	0
126	0
127	0
128	18.935
129	0
130	0
131	0
132	233.798
133	0
134	0
135	48.0869
136	0
137	0
138	0
139	0
140	0.000194551
141	0
142	0
143	0
144	0
145	0
146	48.8793
147	0
148	0
149	46.5816
150	15.3398
151	0
152	0
153	0
154	0
155	0
156	2.58607e-10
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	108.777
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	26.7499
183	0
184	0
185	88.8304
186	0
187	0
188	47.7562
189	165.009
190	0
191	0
192	44.7933
193	21.1939
194	0
195	0
196	10.9918
197	126.981
198	0.0192488
199	113.872
200	0
201	139.331
202	0
203	0
204	0
205	0
206	28.3047
207	0
208	0
209	0
210	0
211	0
212	0
213	160.647
214	0
215	226.025
216	0
217	0
218	0
219	0
220	0
221	28.9326
222	0
223	0
224	0
225	31.2653
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	265.077
235	6.00633e-07
236	0
237	0
238	0
239	0
240	182.946
241	29.509
242	0
243	0
244	48.3704
245	22.5065
246	0
247	0
248	0
249	0
250	18.5169
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	42.0643
269	0
270	0
271	0
272	191.585
273	215.116
274	17.6686
275	0
276	0
277	0
278	25.0789
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	139.085
287	0
288	0
289	1.4045
290	0
291	0
292	101.125
293	0
294	0
295	92.8862
296	0
297	159.863
298	0
299	0
300	0
301	0
302	203.926
303	0
304	0
305	0
306	13.4507
307	0
308	0.299365
309	218.424
310	0
311	0
312	0.00340812
313	0
314	0
315	0
316	440.918
317	0
318	4.58126
319	146.6
320	0
321	0
322	0
323	0
324	0.188379
325	6.60732
326	0
327	0
328	0
329	0
330	0
331	6.35798
332	0
333	1.45624e-05
334	13.6852
335	14.6248
336	66.326
337	39.6269
338	6.79732e-12
339	0
340	29.6838
341	2.96133
342	0
343	0
344	2.10332
345	14.0385
346	0
347	130.259
348	61.3198
349	0
350	21.8183
351	49.62
352	0.0324171
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	223.268
364	50.767
365	0
366	0
367	0
368	0
369	4.67995
370	178.41
371	0
372	0
373	0
374	75.8771
375	0
376	0
377	0
378	30.7626
379	0
380	0
381	0
382	32.3302
383	0
384	0
385	0
386	66.1411
387	0
388	1.29953
389	0
390	18.0889
391	2.95758
392	3.59691e-06
393	0
394	0
395	0.0953368
396	0.199352
397	33.3724
398	12.4585
399	0
400	141.826
401	0
402	0
403	0
404	0
405	68.4991
406	0
407	0
408	0
409	24.7867
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	188.454
426	0
427	0
428	0
429	88.6971
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	210.792
