MHA MHH tb WRA WRH CS MU NLL
500.000 400.000 1.000 0.010 0.025 0.098260 0.245342 56.109700
550.000 400.000 1.000 0.010 0.025 0.480700 0.039150 1416.840000
700.000 400.000 1.000 0.010 0.025 1.120000 0.010838 9168.160000
700.000 450.000 1.000 0.010 0.025 1.364000 0.010075 11792.300000
700.000 500.000 1.000 0.010 0.025 0.994100 0.015751 6482.750000
700.000 550.000 1.000 0.010 0.025 0.450400 0.038036 1605.020000
700.000 600.000 1.000 0.010 0.025 0.090830 0.250469 56.040200
750.000 400.000 1.000 0.010 0.025 1.117000 0.009411 10228.000000
750.000 450.000 1.000 0.010 0.025 1.502000 0.007717 16186.700000
750.000 500.000 1.000 0.010 0.025 1.301000 0.010288 11814.900000
750.000 550.000 1.000 0.010 0.025 0.825500 0.018498 5076.350000
750.000 600.000 1.000 0.010 0.025 0.352300 0.047947 1077.650000
550.000 450.000 1.000 0.010 0.025 0.122200 0.187458 94.528900
750.000 650.000 1.000 0.010 0.025 0.075840 0.302151 39.359700
800.000 400.000 1.000 0.010 0.025 1.060000 0.008427 10988.900000
800.000 450.000 1.000 0.010 0.025 1.524000 0.006496 18864.300000
800.000 500.000 1.000 0.010 0.025 1.465000 0.007809 16200.400000
800.000 550.000 1.000 0.010 0.025 1.103000 0.011623 9706.680000
800.000 600.000 1.000 0.010 0.025 0.651100 0.022450 3658.670000
800.000 650.000 1.000 0.010 0.025 0.270000 0.061718 692.471000
800.000 700.000 1.000 0.010 0.025 0.062190 0.380848 25.307400
600.000 400.000 1.000 0.010 0.025 0.834000 0.019535 4209.010000
600.000 450.000 1.000 0.010 0.025 0.599900 0.030727 2274.170000
600.000 500.000 1.000 0.010 0.025 0.119800 0.185635 97.366500
650.000 400.000 1.000 0.010 0.025 1.042000 0.013645 6937.540000
650.000 450.000 1.000 0.010 0.025 1.065000 0.014790 6968.490000
650.000 500.000 1.000 0.010 0.025 0.550000 0.032505 2097.280000
650.000 550.000 1.000 0.010 0.025 0.106900 0.210873 77.460600
